radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,222,50,14511,31603897,401,9.2383,45.4816,1000,8,1,1680749443,1740051483,0
UMTS,222,50,14511,31600296,249,9.2266,45.4865,870,27,1,1680749483,1756805282,0
UMTS,222,50,60220,48496649,317,9.2409,45.4769,2943,50,1,1680749723,1754669942,0
LTE,222,50,55229,256074312,-1,9.2135,45.4657,1000,7,1,1680861959,1765193522,0
UMTS,222,50,14511,31630143,254,9.2139,45.4657,1000,11,1,1680861999,1776978483,0
UMTS,222,50,60220,48496839,377,9.213,45.4797,1000,16,1,1680866603,1740065283,0
LTE,222,50,55229,256077589,-1,9.2128,45.4736,1000,6,1,1680879947,1765200183,0
UMTS,222,50,14511,31600286,60,9.2148,45.4678,1000,22,1,1680885247,1767545702,0
UMTS,222,50,14511,31630142,364,9.2123,45.468,1000,17,1,1680885317,1767545703,0
UMTS,222,50,14511,31630153,349,9.2157,45.4796,1000,9,1,1680885487,1740056642,0
UMTS,222,50,14511,31630152,86,9.2185,45.4789,1000,6,1,1680885617,1740065283,0
LTE,222,50,55137,256020561,-1,9.2374,45.4701,1000,5,1,1692639016,1776937204,0
LTE,222,50,55226,256085269,-1,9.2166,45.4808,1000,9,1,1694872619,1740056642,0
LTE,222,50,55137,256712265,-1,9.2375,45.4838,1000,12,1,1699092414,1773603901,0
LTE,222,50,10996,31238156,-1,9.2371,45.4744,1000,7,1,1707889984,1775387223,0
LTE,222,50,10973,31385614,-1,9.2381,45.4695,707,26,1,1707889994,1743257049,0
LTE,222,50,10974,31409170,-1,9.238,45.4645,1701,7,1,1707890024,1775387223,0
UMTS,222,50,14511,31617238,471,9.2179,45.4858,1000,6,1,1710578432,1767556741,0
UMTS,222,50,14511,31630245,502,9.2182,45.4862,1000,20,1,1710578452,1767556741,0
UMTS,222,50,14511,31617239,90,9.214,45.483,1000,15,1,1710578662,1767556741,0
UMTS,222,50,60220,48496657,282,9.217,45.4856,1000,21,1,1710578722,1754500982,0
UMTS,222,50,14511,31630151,229,9.2134,45.482,1000,5,1,1710584333,1740056642,0
UMTS,222,50,60220,48496837,333,9.2176,45.4814,1000,16,1,1710586113,1762668722,0
LTE,222,50,55137,256092695,-1,9.2389,45.4733,1000,13,1,1695606047,1754670361,0
LTE,222,50,55137,256092735,-1,9.2383,45.4733,1000,16,1,1695606051,1765208942,0
LTE,222,50,55137,256844309,-1,9.2446,45.4653,1000,9,1,1698897424,1776358325,0
LTE,222,1,9005,129146157,-1,9.2147,45.4743,5994,5,1,1718705941,1754675663,0
LTE,222,1,9210,129150768,-1,9.2171,45.4714,5614,4,1,1718706211,1754675663,0
LTE,222,1,9210,129150765,-1,9.2171,45.4714,5614,4,1,1718706311,1754675663,0
LTE,222,1,9005,129119536,-1,9.2134,45.465,5217,6,1,1718706561,1754675663,0
LTE,222,1,9005,129119535,-1,9.2134,45.465,5217,6,1,1718706591,1754675663,0
LTE,222,1,9005,129119533,-1,9.2134,45.465,5217,6,1,1718706731,1754675663,0
LTE,222,1,9005,129119531,-1,9.2134,45.465,5217,6,1,1718706821,1754675663,0
LTE,222,1,9005,129119530,-1,9.2134,45.465,5217,6,1,1718706901,1754675663,0
LTE,222,1,9005,129119529,-1,9.2134,45.465,5217,6,1,1718706921,1754675663,0
LTE,222,1,9017,128270101,-1,9.2439,45.4722,1000,16,1,1723107305,1760586959,0
LTE,222,50,10973,31385612,-1,9.2405,45.4734,1000,7,1,1723107315,1762603023,0
LTE,222,1,9017,128916758,-1,9.2388,45.4743,1000,15,1,1723107325,1772950627,0
LTE,222,50,10973,31385618,-1,9.2387,45.4757,1000,5,1,1723107335,1762603023,0
LTE,222,1,9151,128986135,-1,9.2383,45.4812,500,27,1,1723107355,1753085108,0
LTE,222,50,10997,31268113,-1,9.238,45.4838,1000,7,1,1723107405,1762603023,0
LTE,222,1,9225,128295958,-1,9.2373,45.4848,1000,9,1,1723107405,1754675662,0
LTE,222,1,9225,128295957,-1,9.2362,45.4861,1000,8,1,1723107575,1753085108,0
LTE,222,50,10997,141519372,-1,9.2371,45.4845,1000,16,1,1723107585,1743354612,0
LTE,222,1,9225,128896022,-1,9.2355,45.487,1000,11,1,1723107595,1754675662,0
LTE,222,1,9005,129146144,-1,9.2174,45.4715,5613,4,1,1723108695,1754675663,0
UMTS,222,50,60130,48501002,383,9.2386,45.4798,1000,14,1,1723680364,1754670361,0
LTE,222,1,9225,128278276,-1,9.2204,45.4863,1000,8,1,1725163271,1756324508,0
LTE,222,1,9225,128866089,-1,9.2347,45.486,1000,13,1,1725163447,1754675664,0
LTE,222,1,9151,128970793,-1,9.2373,45.4856,1000,5,1,1725715321,1754675664,0
LTE,222,1,9225,128959274,-1,9.2355,45.4868,1000,11,1,1725715399,1754675664,0
LTE,222,1,9225,128006917,-1,9.2169,45.4863,1000,12,1,1725715819,1756324508,0
LTE,222,1,9225,128006918,-1,9.2148,45.4876,1000,6,1,1725716029,1742845447,0
LTE,222,50,10973,31385606,-1,9.2416,45.4739,1000,10,1,1725758719,1762603023,0
UMTS,222,50,60220,48501002,383,9.2384,45.4786,543,28,1,1729691693,1754670361,0
LTE,222,50,55226,259195985,-1,9.2385,45.4794,554,25,1,1733547442,1776937204,0
LTE,222,50,55137,256534038,-1,9.2348,45.4876,1000,16,1,1733547682,1777295461,0
LTE,222,50,55226,256111894,-1,9.2326,45.4869,1000,6,1,1733547852,1777295412,0
LTE,222,1,9225,128866090,-1,9.2374,45.4845,1000,7,1,1735199225,1754675664,0
LTE,222,1,9151,128970795,-1,9.2383,45.4806,1000,14,1,1735199315,1754675664,0
UMTS,222,50,60220,48501078,377,9.2121,45.4784,500,26,1,1735381656,1740065283,0
LTE,222,1,9002,128038925,-1,9.2126,45.4754,6177,6,1,1735381465,1754675663,0
LTE,222,1,9226,128944673,-1,9.2159,45.482,1000,11,1,1735381595,1735407782,0
LTE,222,1,9019,129183263,-1,9.2136,45.4796,1000,4,1,1735381675,1735407782,0
LTE,222,1,9225,128006920,-1,9.2189,45.4865,1000,17,1,1735381915,1767729064,0
LTE,222,50,55138,256543825,-1,9.2402,45.4648,1012,11,1,1740031445,1757390090,0
UMTS,222,50,60130,48496746,81,9.2377,45.4645,1000,6,1,1740031465,1740051483,0
UMTS,222,50,60130,48496701,154,9.2381,45.474,1000,11,1,1740031495,1740051483,0
LTE,222,50,55226,259195965,-1,9.2386,45.4779,500,41,1,1740031525,1773603901,0
LTE,222,50,55226,259220286,-1,9.213,45.4781,500,43,1,1740036618,1767452524,0
LTE,222,50,55226,259220306,-1,9.2119,45.4776,1000,10,1,1740036748,1767452524,0
UMTS,222,50,60220,48496677,176,9.2195,45.478,1000,17,1,1740045158,1762668722,0
LTE,222,10,12040,7651617,-1,9.229,45.4786,1000,9,1,1740617976,1762668849,0
LTE,222,10,12040,6502689,-1,9.2303,45.477,1000,4,1,1740618096,1740732003,0
LTE,222,10,12040,7651872,-1,9.2323,45.4771,1000,7,1,1740618216,1740732003,0
LTE,222,10,12040,7651616,-1,9.2305,45.4789,1000,8,1,1740627818,1762668849,0
LTE,222,10,12040,7651627,-1,9.2291,45.4791,1000,9,1,1740627941,1752056701,0
LTE,222,10,12040,7454763,-1,9.2128,45.4822,1000,5,1,1740711316,1740732004,0
LTE,222,10,12040,7129395,-1,9.2145,45.4838,1000,13,1,1740711428,1764804902,0
LTE,222,10,12040,7454751,-1,9.2161,45.4846,1000,4,1,1740711476,1764804902,0
LTE,222,1,9017,129300501,0,9.2379,45.4696,1000,12,1,1741850138,1753085108,0
LTE,222,50,10997,31237645,-1,9.235,45.4874,1000,5,1,1743223844,1743354612,0
LTE,222,50,10997,31238676,-1,9.2344,45.488,1000,8,1,1743326142,1743354612,0
LTE,222,50,55226,256019784,-1,9.2133,45.4753,1000,8,1,1745566102,1767377701,0
UMTS,222,88,14511,31630170,-1,9.2308,45.4769,1000,6,1,1749063798,1749063841,0
LTE,222,1,9017,129300502,-1,9.2387,45.4645,1001,14,1,1743386624,1766033799,0
LTE,222,1,9017,129300777,-1,9.2379,45.4696,1000,11,1,1742094162,1753085108,0
LTE,222,1,9017,128869931,-1,9.2381,45.4738,1000,9,1,1742094182,1753085108,0
LTE,222,1,9017,128270102,-1,9.238,45.4729,1000,5,1,1742094182,1753085108,0
LTE,222,1,9017,128917035,-1,9.2382,45.4767,1000,4,1,1742094202,1753085108,0
LTE,222,1,9017,128916759,-1,9.2382,45.4767,1000,4,1,1742094202,1753085108,0
LTE,222,1,9225,128927530,-1,9.2354,45.4866,1000,7,1,1742094362,1753085108,0
LTE,222,50,55226,256111934,-1,9.2318,45.4873,1000,9,1,1754384818,1767377701,0
UMTS,222,50,60220,48501788,306,9.2153,45.4861,1000,8,1,1754478407,1767460264,0
LTE,222,50,55226,259463999,-1,9.2165,45.4859,1000,19,1,1754478457,1767556741,0
LTE,222,50,55226,259463998,-1,9.2204,45.4868,1000,22,1,1754478467,1767556741,0
UMTS,222,50,60220,48501787,315,9.221,45.4876,1000,8,1,1754478477,1754500982,0
LTE,222,50,55226,259195925,-1,9.2384,45.4802,503,25,1,1754650144,1776937204,0
UMTS,222,50,60220,48501541,261,9.2401,45.4725,1000,6,1,1754650184,1754670361,0
LTE,222,1,9017,128917024,-1,9.2389,45.4749,1000,5,1,1754384559,1754675662,0
LTE,222,1,9017,128917023,-1,9.2384,45.4768,1000,4,1,1754384568,1754675662,0
LTE,222,1,9151,128970785,-1,9.2384,45.4807,1000,8,1,1754384579,1754675662,0
LTE,222,1,9017,128916797,-1,9.2385,45.4759,1000,6,1,1754650169,1754675664,0
LTE,222,1,9226,128540929,-1,9.2147,45.4842,1000,4,1,1756302414,1756324508,0
UMTS,222,50,60220,48496671,248,9.2309,45.4845,1000,9,1,1756782132,1756804502,0
LTE,222,50,55226,258255933,-1,9.2312,45.485,1000,5,1,1756784809,1756806841,0
LTE,222,50,55226,256001559,-1,9.2298,45.4831,1000,9,1,1756785547,1767377701,0
LTE,222,10,12035,6638879,-1,9.2147,45.4646,1000,14,1,1756897804,1757757425,0
LTE,222,10,12037,6886431,-1,9.2148,45.4701,1000,14,1,1756898024,1757757424,0
LTE,222,10,12037,7434026,-1,9.2148,45.4719,1000,7,1,1756898074,1757757423,0
LTE,222,10,12037,7667743,-1,9.2135,45.4757,1000,11,1,1756898234,1757757424,0
LTE,222,10,12037,7616032,-1,9.2128,45.4774,1000,10,1,1756898264,1757757424,0
LTE,222,10,12037,7616042,-1,9.2149,45.4771,1000,5,1,1756898284,1757148905,0
LTE,222,10,12037,7616031,-1,9.2125,45.4784,1000,13,1,1756898524,1764804902,0
LTE,222,10,12037,6805024,-1,9.2129,45.4739,1000,9,1,1757684290,1762668850,0
LTE,222,10,12037,7667744,-1,9.2147,45.4744,1000,7,1,1757684300,1757757424,0
LTE,222,10,12037,7434016,-1,9.2147,45.4715,1000,4,1,1757702351,1757757424,0
UMTS,222,50,14511,31600095,-1,9.2207,45.4775,1715,51,1,1762668715,1762668723,0
LTE,222,10,12040,6462771,-1,9.2196,45.48,1000,14,1,1756528593,1762668849,0
LTE,222,10,12040,6462731,-1,9.2191,45.4802,1000,9,1,1756534573,1764804902,0
LTE,222,10,12037,7485197,-1,9.2181,45.4741,1000,4,1,1756535372,1762668849,0
LTE,222,10,12040,6404384,-1,9.2353,45.4808,1000,6,1,1756536422,1762668850,0
LTE,222,10,12040,7450891,-1,9.2264,45.4829,1000,5,1,1764769552,1764804902,0
LTE,222,10,12040,7400459,-1,9.2255,45.4811,1000,4,1,1764778911,1764804902,0
LTE,222,10,12040,7400461,-1,9.2235,45.4806,1000,4,1,1764779131,1764804902,0
LTE,222,10,12040,6462732,-1,9.2151,45.4801,1000,8,1,1764779291,1764804902,0
LTE,222,50,55226,259220245,-1,9.2138,45.4807,1000,23,1,1765000154,1767556741,0
LTE,222,50,55226,259463959,-1,9.2164,45.4862,1000,7,1,1765020358,1767377701,0
LTE,222,50,55229,259464253,-1,9.2147,45.4644,1000,9,1,1765169829,1767545702,0
LTE,222,50,55137,259449663,-1,9.2147,45.4661,1000,9,1,1765170259,1767545702,0
UMTS,222,50,60220,48502200,362,9.2148,45.4652,1000,7,1,1765184566,1765206001,0
UMTS,222,50,60220,48502268,353,9.2136,45.4643,1000,14,1,1765184646,1765206001,0
LTE,222,50,55137,256534088,-1,9.2345,45.4881,1000,6,1,1765188080,1765208102,0
LTE,222,50,55226,259463958,-1,9.2217,45.4865,1000,14,1,1767351780,1767377701,0
LTE,222,50,55226,258255935,-1,9.227,45.4861,1000,5,1,1767351850,1767377701,0
LTE,222,50,55226,258255895,-1,9.227,45.4861,1000,5,1,1767351850,1767377701,0
LTE,222,50,55137,259723581,-1,9.2318,45.4683,1000,5,1,1767429214,1767452524,0
UMTS,222,50,60220,48496665,8,9.2186,45.4717,1000,22,1,1767429373,1767452524,0
LTE,222,1,9214,128542761,-1,9.2148,45.4645,1000,6,1,1767518640,1767549189,0
LTE,222,1,9214,128881450,-1,9.214,45.468,1000,8,1,1767518740,1767549189,0
UMTS,222,50,14511,31589009,255,9.221,45.4876,1000,4,1,1767534479,1767556741,0
LTE,222,50,10973,31238664,-1,9.235,45.4874,1000,8,1,1775351679,1775387223,0
